Time_UTC,COV,SAM
2015-12-01 00:00:00,-3.509,1.879
2015-12-01 06:00:00,-4.500,4.505
2015-12-01 12:00:00,-3.677,3.836
2015-12-01 18:00:00,-3.400,3.889
2015-12-02 00:00:00,-0.600,4.942
2015-12-02 06:00:00,-0.713,4.376
2015-12-02 12:00:00,-0.482,6.888
2015-12-02 18:00:00,-0.138,5.710
2015-12-03 00:00:00,-0.662,6.800
2015-12-03 06:00:00,-0.122,4.611
2015-12-03 12:00:00,-0.587,6.483
2015-12-03 18:00:00,-0.021,4.693
2015-12-04 00:00:00,-0.138,4.537
2015-12-04 06:00:00,-1.461,2.995
2015-12-04 12:00:00,-2.679,4.249
2015-12-04 18:00:00,-4.952,2.949
2015-12-05 00:00:00,-5.230,2.180
2015-12-05 06:00:00,-4.899,0.030
2015-12-05 12:00:00,-3.475,2.492
2015-12-05 18:00:00,-1.843,0.717
2015-12-06 00:00:00,-1.561,1.323
2015-12-06 06:00:00,-0.973,0.009
2015-12-06 12:00:00,-3.361,2.359
2015-12-06 18:00:00,-4.436,1.154
2015-12-07 00:00:00,-5.199,1.530
2015-12-07 06:00:00,-5.270,0.525
2015-12-07 12:00:00,-4.290,2.008
2015-12-07 18:00:00,-3.821,0.898
2015-12-08 00:00:00,-5.605,1.244
2015-12-08 06:00:00,-6.436,1.130
2015-12-08 12:00:00,-7.603,2.004
2015-12-08 18:00:00,-8.638,2.119
2015-12-09 00:00:00,-8.313,2.078
2015-12-09 06:00:00,-8.256,1.979
2015-12-09 12:00:00,-9.021,0.178
2015-12-09 18:00:00,-11.264,0.393
2015-12-10 00:00:00,-10.038,-1.358
2015-12-10 06:00:00,-8.638,-1.165
2015-12-10 12:00:00,-6.285,1.953
2015-12-10 18:00:00,-4.700,1.057
2015-12-11 00:00:00,-4.582,2.507
2015-12-11 06:00:00,-4.053,1.482
2015-12-11 12:00:00,-4.091,2.882
2015-12-11 18:00:00,-3.962,1.141
2015-12-12 00:00:00,-3.824,1.608
2015-12-12 06:00:00,-3.688,0.142
2015-12-12 12:00:00,-2.415,2.643
2015-12-12 18:00:00,-1.230,0.817
2015-12-13 00:00:00,-2.675,-1.341
2015-12-13 06:00:00,-3.109,0.326
2015-12-13 12:00:00,-4.260,1.787
2015-12-13 18:00:00,-3.547,0.232
2015-12-14 00:00:00,-4.779,-0.265
2015-12-14 06:00:00,-3.869,-1.669
2015-12-14 12:00:00,-5.188,0.206
2015-12-14 18:00:00,-5.614,-1.133
2015-12-15 00:00:00,-6.004,-0.287
2015-12-15 06:00:00,-5.657,-0.673
2015-12-15 12:00:00,-5.516,1.816
2015-12-15 18:00:00,-5.321,1.424
2015-12-16 00:00:00,-5.860,2.108
2015-12-16 06:00:00,-6.082,2.263
2015-12-16 12:00:00,-6.273,2.632
2015-12-16 18:00:00,-6.372,3.421
2015-12-17 00:00:00,-5.776,2.637
2015-12-17 06:00:00,-4.863,2.876
2015-12-17 12:00:00,-3.817,4.629
2015-12-17 18:00:00,-3.177,4.116
2015-12-18 00:00:00,-2.174,4.200
2015-12-18 06:00:00,-3.196,3.907
2015-12-18 12:00:00,-3.419,4.887
2015-12-18 18:00:00,-4.427,5.306
2015-12-19 00:00:00,-4.046,5.201
2015-12-19 06:00:00,-3.569,4.140
2015-12-19 12:00:00,-2.215,5.254
2015-12-19 18:00:00,-1.321,3.877
2015-12-20 00:00:00,-0.743,3.501
2015-12-20 06:00:00,0.446,2.301
2015-12-20 12:00:00,-0.567,5.052
2015-12-20 18:00:00,-1.178,3.568
2015-12-21 00:00:00,-2.529,1.883
2015-12-21 06:00:00,-3.786,1.668
2015-12-21 12:00:00,-5.190,0.840
2015-12-21 18:00:00,-4.639,1.604
2015-12-22 00:00:00,-2.489,2.820
2015-12-22 06:00:00,-1.233,2.753
2015-12-22 12:00:00,0.422,4.243
2015-12-22 18:00:00,2.248,3.605
2015-12-23 00:00:00,1.428,2.844
2015-12-23 06:00:00,0.975,1.929
2015-12-23 12:00:00,-1.838,3.429
2015-12-23 18:00:00,-3.493,1.742
2015-12-24 00:00:00,-4.775,1.259
2015-12-24 06:00:00,-3.920,-0.617
2015-12-24 12:00:00,-5.047,0.947
2015-12-24 18:00:00,-4.732,1.301
2015-12-25 00:00:00,-4.959,2.378
2015-12-25 06:00:00,-5.171,2.008
2015-12-25 12:00:00,-3.476,3.519
2015-12-25 18:00:00,-3.057,3.332
2015-12-26 00:00:00,-3.271,4.155
2015-12-26 06:00:00,-1.991,3.165
2015-12-26 12:00:00,-1.872,5.134
2015-12-26 18:00:00,-1.925,4.890
2015-12-27 00:00:00,-2.567,5.582
2015-12-27 06:00:00,-2.356,5.069
2015-12-27 12:00:00,-2.273,6.342
2015-12-27 18:00:00,-2.013,4.944
2015-12-28 00:00:00,-1.705,5.436
2015-12-28 06:00:00,-1.574,3.759
2015-12-28 12:00:00,-1.312,5.309
2015-12-28 18:00:00,-1.568,3.973
2015-12-29 00:00:00,-1.286,4.144
2015-12-29 06:00:00,-0.970,2.356
2015-12-29 12:00:00,-3.481,3.091
2015-12-29 18:00:00,-6.139,2.177
2015-12-30 00:00:00,-5.832,0.528
2015-12-30 06:00:00,-4.800,-1.840
2015-12-30 12:00:00,-4.181,1.086
2015-12-30 18:00:00,-2.959,-1.978
2015-12-31 00:00:00,-3.306,-2.821
2015-12-31 06:00:00,-4.378,-3.229
2015-12-31 12:00:00,-6.825,-1.147
2015-12-31 18:00:00,-8.446,-1.686
